id,Name,audience,countLearner,difficult,category,subcategory,url
311,Build Hands-On A Project : C# Programming,"นักเรียน, นักศึกษา",309,พื้นฐาน,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/2ce9084a-e990-4942-82bf-4b9cf638ff48.jpg
310,Advanced For C# Programming,"นักเรียน, นักศึกษา",165,พื้นฐาน,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/4f6f998d-0544-4598-9e02-5b510ba7c60c.jpg
309,C#: การเขียนโปรแกรมเชิงวัตถุ (Object Oriented Programming-OOP),"นักเรียน, นักศึกษา",210,พื้นฐาน,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/da434d40-3511-4f09-bedc-38cf901fd324.jpg
308,Getting Started as C# Developer,"นักเรียน, นักศึกษา",336,พื้นฐาน,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/420cfc8b-ec27-4546-9540-36796083a620.jpg
301,Create Interactive Presentation by Storytelling,พนักงาน,468,ปานกลาง,Business,Language,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/0ef28024-1ff1-458f-b8cc-afd2990265bd.jpg
300,Mastering The Virtual Presentation & Grab Attention In Meeting,พนักงาน,276,ปานกลาง,Business,Language,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/78cf4eea-e58f-49ca-9fc6-a54cf01a3585.jpg
299,Become an Outstanding Public Speaker in English,พนักงาน,606,ปานกลาง,Business,Language,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/a4b5f682-3274-456d-8c20-c28ab602fdc0.jpg
279,Workshop: การเริ่มต้น Deploy Web Application on EC2 (AWS),"นักเรียน, นักศึกษา",1242,พื้นฐาน,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/b48971c1-d23a-445f-af0f-08c61343a89a.jpg
278,"รู้จัก Service ทางด้าน Network, Security และ บริการด้านการจัดการ บน AWS","นักเรียน, นักศึกษา",1140,พื้นฐาน,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/073555c9-1702-4714-8651-5e46c3945176.jpg
277,Introduction to AWS services เรียนรู้ Core Services บน AWS,"นักเรียน, นักศึกษา",1263,พื้นฐาน,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/c4cae47f-76d7-4440-8014-cd33096da526.jpg
275,Getting Start With Cloud and AWS Cloud ก้าวแรกสู่การรู้จัก Cloud และ AWS Cloud,"นักเรียน, นักศึกษา",1566,พื้นฐาน,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/2377e9d6-1f22-40ce-bdfa-0b96b916467e.jpg
273,Deep Neural Network Module and Workshop in OpenCV,"นักเรียน, นักศึกษา",393,ปานกลาง,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/4a479099-6e3b-45ee-bee5-fa14809ad9eb.jpg
272,Basic Detection and Face Detection,"นักเรียน, นักศึกษา",480,ปานกลาง,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/76f27581-4a31-423e-a2f9-3d375b19c180.jpg
271,สร้างระบบ Computer vision อย่างมืออาชีพด้วย OpenCV,"นักเรียน, นักศึกษา",423,ปานกลาง,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/f6c3dcd5-feb0-497a-844e-ec209bde95bf.jpg
254,เปลี่ยนลูกเพจให้เป็นลูกค้า ด้วยเทคนิคการสื่อสารบนโลกออนไลน์,,1017,พื้นฐาน,Business,Digital Marketing,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/b35d301a-5826-491c-b83b-c0fad399363c.jpeg
242,Excel Advance เจาะลึกเทคนิคการทำงานให้ง่ายขึ้นด้วย Macro และ VBA,บุคคลทั่วไป,1755,ปานกลาง,Technology,Programming,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1661856570763TNExcelAdvanced01.jpg?alt=media&token=8daaca97-e95b-4a62-bea1-45825ef53127
234,สร้างองค์กรให้เติบโตด้วยวิธีการคิดในเชิงนวัตกรรม Innovative Thinking for Business,"นักเรียน, นักศึกษา, พนักงาน, บุคคลทั่วไป",1032,พื้นฐาน,Business,Data and Analytics,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/3bde20c0-5f4c-445c-a37c-41a64330d652.jpg
217,สร้าง Passive income ด้วยเทคนิคทำการตลาด Affiliate marketing,"นักศึกษา, พนักงาน",1641,พื้นฐาน,Business,Digital Marketing,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/8cc1d35d-810f-4124-a51b-bf0b6c99b70a.jpg
